date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:29	7/7	---M--	200	added ('OK')	application/javascript	etag:%22aae08f9-7-5a79efcc518c0%22	https://wtka.websitestemplateskits.com/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min.js?ver=1.0.14	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min18c7.js	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:30	15055/15055	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aae031b-3acf-5a8bfaa10c940%22	https://wtka.websitestemplateskits.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=2.9.13	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.mincaa5.js	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:30	12477/12477	---M--	200	added ('OK')	image/png	etag:%22a9c3b3f-30bd-5ab7f66a097fa%22	https://wtka.websitestemplateskits.com/wp-content/uploads/elementor/thumbs/TUTORIA-removebg-preview-ot4rwn1j4cburx97uythtf87a00vw28iaj57f8zkko.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/elementor/thumbs/TUTORIA-removebg-preview-ot4rwn1j4cburx97uythtf87a00vw28iaj57f8zkko.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:30	58164/58164	---M--	200	added ('OK')	image/png	etag:%22a9a4af2-e334-5ab7d4363cc2e%22	https://wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_Bibliophile_hwqc-removebg-preview.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_Bibliophile_hwqc-removebg-preview.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:30	9656/9656	---M--	200	added ('OK')	image/png	etag:%22a9c16ba-25b8-5ab0103fa8547%22	https://wtka.websitestemplateskits.com/wp-content/uploads/elementor/thumbs/undraw_teacher_35j2-removebg-preview-osttif4jfehl9jbrc14veckqfdpw6ttab92ko0xdyg.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/elementor/thumbs/undraw_teacher_35j2-removebg-preview-osttif4jfehl9jbrc14veckqfdpw6ttab92ko0xdyg.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:31	23764/23764	---M--	200	added ('OK')	image/png	etag:%22a9a4c86-5cd4-5ab03a3e61c1a%22	https://wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_responsive_6c8s.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_responsive_6c8s.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:31	335999/335999	---M--	200	added ('OK')	image/png	etag:%22a9a4c2e-5207f-5ab0110702f2c%22	https://wtka.websitestemplateskits.com/wp-content/uploads/2020/07/reading_a_book.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/2020/07/reading_a_book.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:31	25095/25095	---M--	200	added ('OK')	image/png	etag:%22a9a4c66-6207-5ab03a25849c2%22	https://wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_drone_surveillance_kjjg.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_drone_surveillance_kjjg.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:31	12086/12086	---M--	200	added ('OK')	image/png	etag:%22a9a4c6e-2f36-5ab03a2999cd3%22	https://wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_Building_vpxo.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_Building_vpxo.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:45:32	23165/23165	---M--	200	added ('OK')	image/png	etag:%22a9a4c7e-5a7d-5ab03a382e8f2%22	https://wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_proud_coder_7ain.png	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/uploads/2020/07/undraw_proud_coder_7ain.png	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
